place_id,名称,おやつ向き,サブカテゴリ,観光向き,買い物向き,雨の日向き,子ども向き,高齢者向き,一人向き,短時間立寄り向き,最短滞在時間_分,最大滞在時間_分,おすすめ時間帯,季節性,屋内外,景観・写真向き,静かに過ごせる,徒歩アクセス難易度,坂道,段差,車椅子対応,ベビーカー対応,エレベーター,座れる場所,日陰・屋根,最寄りバス停,最寄りバス停距離_m,交通ハブ,駐車場,駐輪場,トイレ,多目的トイレ,授乳・おむつ交換,飲料購入,休憩ベンチ,AED,料理ジャンル,提供メニュータグ,テイクアウト,席あり,家族利用向き,予約必要,祝日営業メモ,最終入場時刻,ラストオーダー,コインロッカー,観光案内,情報源_web,web確認日,web確認ステータス,推定項目,推定確信度,メモ
R001,本田食堂,yes,洋食レストラン,no,unknown,yes,unknown,unknown,unknown,unknown,45,90,,通年,indoor,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,yes,unknown,unknown,yes,unknown,unknown,洋食レストラン,洋食・コーヒー・デザート,unknown,yes,unknown,yes,,,,unknown,unknown,https://shimosuwaonsen.jp/food/11051/;https://www.google.com/maps/search/?api=1&query=本田食堂%20下諏訪町,2026-08-27,公式観光＋地図情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,週末は予約推奨。営業時間は公式観光情報を優先。
R002,ビストロ・サ・マッシュ,,ビストロ,no,unknown,yes,unknown,unknown,unknown,unknown,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,ビストロ,洋食・ビストロ,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.suwa-tourism.jp/archives/002104.php,2026-08-27,諏訪観光公式確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,月曜休＋第3日曜休の案内あり。駐車場8台。
R003,つけめん参城,,ラーメン,no,unknown,yes,unknown,unknown,yes,yes,30,45,,通年,indoor,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,ラーメン,ラーメン,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.toco-suwa.com/detail/161/news/news-215587.html;https://www.google.com/maps/search/?api=1&query=つけめん参城%20下諏訪,2026-08-27,2026年記事＋地図情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,11:00-15:00、売切れ次第終了、土日休。駐車場8台。
R004,とんねるや,,そば,no,unknown,yes,unknown,unknown,yes,yes,30,45,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,そば,そば,unknown,yes,unknown,unknown,,,昼14:00 / 夜21:00,unknown,unknown,https://soba-tonneruya.com/about;https://soba-tonneruya.com/info,2026-08-27,店舗公式確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,昼と夜の間にアイドルタイムあり。
R005,うなぎ林屋,,うなぎ,no,unknown,yes,unknown,unknown,unknown,unknown,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,うなぎ,うなぎ,unknown,yes,unknown,unknown,,,,unknown,unknown,https://tabelog.com/nagano/A2004/A200404/20002278/,2026-08-27,店舗情報サイト確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,火・水休の掲載あり。60席・駐車場あり。公式一次情報は要追加確認。
R006,国産和牛焼肉 彩り,,焼肉,no,unknown,yes,unknown,unknown,unknown,unknown,45,90,,通年,indoor,unknown,yes,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,yes,unknown,unknown,yes,unknown,unknown,焼肉,焼肉,unknown,yes,unknown,yes,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=国産和牛焼肉%20彩り%20下諏訪町,2026-08-27,地図公開情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,
R007,飛やじ,,居酒屋,no,unknown,yes,unknown,unknown,unknown,unknown,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,居酒屋,酒・つまみ,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=飛やじ%20下諏訪町,2026-08-27,地図公開情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,
R008,MARUSANcafe,yes,カフェ,no,unknown,yes,unknown,unknown,yes,yes,30,60,,通年,indoor,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,,,no,unknown,unknown,yes,unknown,unknown,yes,unknown,unknown,カフェ,コーヒー・デザート・軽食,unknown,yes,unknown,unknown,,,,unknown,unknown,https://www.google.com/maps/search/?api=1&query=MARUSANcafe%20下諏訪町,2026-08-27,地図公開情報確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,
R009,ケンケンレストラン,,フランス料理,no,unknown,yes,unknown,unknown,unknown,unknown,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,フランス料理,フランス料理,unknown,yes,unknown,unknown,,,,unknown,unknown,https://tabelog.com/nagano/A2004/A200404/20025044/,2026-08-27,店舗情報サイト確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,予約可の掲載あり。営業曜日は情報差異があるため要公式確認。
R010,ぐらたん屋 フラット,,レストラン,no,unknown,yes,yes,unknown,unknown,unknown,45,90,,通年,indoor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,,,no,yes,unknown,unknown,unknown,unknown,yes,unknown,unknown,レストラン,洋食・グラタン等,unknown,yes,yes,unknown,,,,unknown,unknown,https://tabelog.com/nagano/A2004/A200404/20002574/,2026-08-27,店舗情報サイト確認,観光向き;雨の日向き;屋内外;短時間立寄り向き;料理ジャンル;提供メニュータグ,medium,30席、駐車場あり。夜営業は予約条件の掲載があるため要確認。
