stop_id,stop_name,stop_lat,stop_lon,location_source,source_points
AZAMI_S0001,下諏訪駅,36.07219831961,138.08521292558,real_json_tokyo_to_wgs84,1
AZAMI_S0002,大社通り,36.074650130498,138.087100765708,real_json_tokyo_to_wgs84,1
AZAMI_S0003,諏訪大社秋宮前,36.075167660443,138.089933217426,real_json_tokyo_to_wgs84,2
AZAMI_S0004,湯田坂上,36.077096053663,138.089331324436,real_json_tokyo_to_wgs84,2
AZAMI_S0005,新町上,36.079688137799,138.087395366825,real_json_tokyo_to_wgs84,2
AZAMI_S0006,宮の上,36.081261204073,138.084245359164,real_json_tokyo_to_wgs84,2
AZAMI_S0007,山の神下,36.084536313016,138.083556565966,real_json_tokyo_to_wgs84,2
AZAMI_S0008,山の神上,36.087670887757,138.084213474162,real_json_tokyo_to_wgs84,2
AZAMI_S0009,注連掛南,36.092380071108,138.085138977709,real_json_tokyo_to_wgs84,1
AZAMI_S0010,長坂団地前,36.09678223138,138.086241909537,real_json_tokyo_to_wgs84,1
AZAMI_S0011,落合橋,36.098551173073,138.088512081636,real_json_tokyo_to_wgs84,2
AZAMI_S0012,萩倉口下,36.102472028978,138.093598847533,real_json_tokyo_to_wgs84,1
AZAMI_S0013,下屋敷,36.106141676205,138.095732577136,real_json_tokyo_to_wgs84,1
AZAMI_S0014,町屋敷,36.104811366905,138.095337190562,real_json_tokyo_to_wgs84,2
AZAMI_S0015,鈴ヶ口,36.108568781744,138.098625828794,real_json_tokyo_to_wgs84,2
AZAMI_S0016,樋橋,36.121425253717,138.102692638083,real_json_tokyo_to_wgs84,1
AZAMI_S0017,町屋敷公園前,36.10256589772,138.094396666059,real_json_tokyo_to_wgs84,1
AZAMI_S0018,木落し坂,36.100139340722,138.094603892538,real_json_tokyo_to_wgs84,2
AZAMI_S0019,萩倉仲町,36.100233567787,138.097139017916,real_json_tokyo_to_wgs84,2
AZAMI_S0020,萩倉,36.100240962144,138.099063106814,real_json_tokyo_to_wgs84,2
AZAMI_S0021,萩倉上,36.100067660156,138.104327455519,real_json_tokyo_to_wgs84,2
AZAMI_S0022,所沢,36.100647365778,138.107469908746,real_json_tokyo_to_wgs84,1
AZAMI_S0023,萩倉口上,36.102023773421,138.093629758493,real_json_tokyo_to_wgs84,1
AZAMI_S0024,注連掛北,36.092980135099,138.085602228968,real_json_tokyo_to_wgs84,1
AZAMI_S0025,星が丘上,36.091147558039,138.0823023728,real_json_tokyo_to_wgs84,2
AZAMI_S0026,星が丘公会所前,36.089222246639,138.081632659915,real_json_tokyo_to_wgs84,2
AZAMI_S0027,社中学校入口,36.087653618712,138.080379135728,real_json_tokyo_to_wgs84,2
AZAMI_S0028,北小校庭入口,36.084644864939,138.076869355176,real_json_tokyo_to_wgs84,2
AZAMI_S0029,万治の石仏,36.082115994327,138.080581575596,real_json_tokyo_to_wgs84,2
AZAMI_S0030,老人福祉センター,36.080281003883,138.079579670483,real_json_tokyo_to_wgs84,2
AZAMI_S0031,諏訪マタニティー前,36.077601035104,138.079063171313,real_json_tokyo_to_wgs84,2
AZAMI_S0032,西友西,36.07575122287,138.079073296079,real_json_tokyo_to_wgs84,2
AZAMI_S0033,春宮大門,36.074847924963,138.081356008358,real_json_tokyo_to_wgs84,2
AZAMI_S0034,大社通り四ツ角①,36.074543049266,138.084721161582,real_json_tokyo_to_wgs84,1
AZAMI_S0035,大社通り四ツ角②,36.074393841032,138.084250131704,real_json_tokyo_to_wgs84,1
AZAMI_S0036,西友前,36.075861809924,138.080604308807,real_json_tokyo_to_wgs84,2
AZAMI_S0037,注連掛西,36.092804590846,138.085107213991,real_json_tokyo_to_wgs84,1
AZAMI_S0038,大社通り四ツ角③,36.074463025921,138.085133294389,real_json_tokyo_to_wgs84,1
AZAMI_S0039,食祭館南,36.073974106884,138.087022043098,real_json_tokyo_to_wgs84,2
AZAMI_S0040,秋宮南,36.074398849231,138.091250026555,real_json_tokyo_to_wgs84,2
AZAMI_S0041,武居,36.075335458674,138.092955584002,real_json_tokyo_to_wgs84,2
AZAMI_S0042,向陽台入口,36.076097782014,138.095379059448,real_json_tokyo_to_wgs84,2
AZAMI_S0043,武居北,36.078094570234,138.099603559556,real_json_tokyo_to_wgs84,2
AZAMI_S0044,下諏訪向陽高校,36.07779360006,138.102811485955,real_json_tokyo_to_wgs84,1
AZAMI_S0045,下諏訪郵便局東,36.072163477949,138.082641222222,real_json_tokyo_to_wgs84,2
AZAMI_S0046,文化センター前,36.069919804714,138.080287716792,real_json_tokyo_to_wgs84,1
AZAMI_S0047,役場東,36.069378253006,138.082055601077,real_json_tokyo_to_wgs84,2
AZAMI_S0048,四王,36.069496263023,138.085692997008,real_json_tokyo_to_wgs84,2
AZAMI_S0049,イオン諏訪店横,36.066851527209,138.087078789532,real_json_tokyo_to_wgs84,2
AZAMI_S0050,ハーモ美術館前,36.06497852622,138.087900556153,real_json_tokyo_to_wgs84,2
AZAMI_S0051,AQUA未来,36.063263923465,138.080448451141,real_json_tokyo_to_wgs84,2
AZAMI_S0052,東赤砂,36.065508307612,138.080201532513,real_json_tokyo_to_wgs84,2
AZAMI_S0053,西大路南,36.068034601634,138.075559108454,real_json_tokyo_to_wgs84,2
AZAMI_S0054,砥川西,36.069809056395,138.07562843353,real_json_tokyo_to_wgs84,2
AZAMI_S0055,あざみクリニック前,36.071325548183,138.075703163607,real_json_tokyo_to_wgs84,2
AZAMI_S0056,西大路北,36.073506645908,138.075832901493,real_json_tokyo_to_wgs84,2
AZAMI_S0057,社東町公民館,36.077051276107,138.075545334165,real_json_tokyo_to_wgs84,2
AZAMI_S0058,信濃医療福祉センター,36.080253899442,138.073292385215,real_json_tokyo_to_wgs84,1
AZAMI_S0059,社郵便局前,36.082019755325,138.074132306108,real_json_tokyo_to_wgs84,2
AZAMI_S0060,山花前,36.082690506227,138.074751606709,real_json_tokyo_to_wgs84,2
AZAMI_S0061,諏訪共立病院前,36.07720211271,138.081456523956,real_json_tokyo_to_wgs84,2
AZAMI_S0062,今昔館前,36.075501607,138.08925208876,real_json_tokyo_to_wgs84,2
AZAMI_S0063,藤ノ木,36.066352734093,138.10409733764,real_json_tokyo_to_wgs84,2
AZAMI_S0064,高木公民館前,36.065530854095,138.106556073927,real_json_tokyo_to_wgs84,2
AZAMI_S0065,ユーペンハウス前,36.063549086928,138.107761894685,real_json_tokyo_to_wgs84,2
AZAMI_S0066,東高木,36.062825459828,138.106605577886,real_json_tokyo_to_wgs84,1
AZAMI_S0067,高木下,36.064656478968,138.10448407945,real_json_tokyo_to_wgs84,2
AZAMI_S0068,諏訪湖博物館・赤彦記念館,36.06693010127,138.101848959568,real_json_tokyo_to_wgs84,2
AZAMI_S0069,ゆたん歩ﾟ,,,unknown_no_json,0
AZAMI_S0070,高浜運動公園前,36.067686759279,138.096072515666,real_json_tokyo_to_wgs84,2
AZAMI_S0071,信金湖浜東,36.067760851368,138.093554552131,real_json_tokyo_to_wgs84,1
AZAMI_S0072,四王歩道橋,36.0677013645,138.088742415294,real_json_tokyo_to_wgs84,2
AZAMI_S0073,長野銀行前,36.0664151857,138.08160000866,real_json_tokyo_to_wgs84,2
AZAMI_S0074,下諏訪町役場,36.069309878341,138.079449149246,real_json_tokyo_to_wgs84,2
AZAMI_S0075,信金湖浜前,36.067884454078,138.093124890048,real_json_tokyo_to_wgs84,1
